Variant Grouping,_Identifier,Lineage Grouped,%CT Count of Sample #,Collection (week)
Omicron,BA.1,BA.1.1.16,0.023,2021-12-19
Omicron,BA.1,BA.1.1.16,0.019,2021-12-26
Omicron,BA.1,BA.1.1.16,0.033,2022-01-02
Omicron,BA.1,BA.1.1.16,0.037,2022-01-09
Omicron,BA.1,BA.1.1.16,0.041,2022-01-16
Omicron,BA.1,BA.1.1.16,0.06,2022-01-23
Omicron,BA.1,BA.1.1.16,0.05,2022-01-30
Omicron,BA.1,BA.1.1.16,0.059,2022-02-06
Omicron,BA.1,BA.1.1.16,0.054,2022-02-13
Omicron,BA.1,BA.1.1.16,0.064,2022-02-20
Omicron,BA.1,BA.1.1.16,0.06,2022-02-27
Omicron,BA.1,BA.1.1.16,0.054,2022-03-06
Omicron,BA.1,BA.1.1.16,0.027,2022-03-13
Omicron,BA.1,BA.1.1.16,0.015,2022-03-20
Omicron,BA.1,BA.1.1.16,0.018,2022-03-27
Omicron,BA.1,BA.1.1.16,0.008,2022-04-03
Omicron,BA.1,BA.1.1.16,0.005,2022-04-10
Omicron,BA.1,BA.1.1.16,0.003,2022-04-17
Omicron,BA.1,BA.1.1.16,0.002,2022-04-24
Omicron,BA.1,BA.1.1.16,0.001,2022-05-01
Omicron,BA.1,BA.1.1.16,0.001,2022-05-08
Omicron,BA.1,BA.1.15,0.001,2021-11-21
Omicron,BA.1,BA.1.15,0.003,2021-11-28
Omicron,BA.1,BA.1.15,0.007,2021-12-05
Omicron,BA.1,BA.1.15,0.058,2021-12-12
Omicron,BA.1,BA.1.15,0.107,2021-12-19
Omicron,BA.1,BA.1.15,0.121,2021-12-26
Omicron,BA.1,BA.1.15,0.105,2022-01-02
Omicron,BA.1,BA.1.15,0.099,2022-01-09
Omicron,BA.1,BA.1.15,0.088,2022-01-16
Omicron,BA.1,BA.1.15,0.084,2022-01-23
Omicron,BA.1,BA.1.15,0.07,2022-01-30
Omicron,BA.1,BA.1.15,0.059,2022-02-06
Omicron,BA.1,BA.1.15,0.055,2022-02-13
Omicron,BA.1,BA.1.15,0.038,2022-02-20
Omicron,BA.1,BA.1.15,0.038,2022-02-27
Omicron,BA.1,BA.1.15,0.029,2022-03-06
Omicron,BA.1,BA.1.15,0.033,2022-03-13
Omicron,BA.1,BA.1.15,0.019,2022-03-20
Omicron,BA.1,BA.1.15,0.014,2022-03-27
Omicron,BA.1,BA.1.15,0.006,2022-04-03
Omicron,BA.1,BA.1.15,0.003,2022-04-10
Omicron,BA.1,BA.1.15,0.002,2022-04-17
Omicron,BA.1,BA.1.15,0.001,2022-04-24
Omicron,BA.1,BA.1.15,0.002,2022-05-01
Omicron,BA.1,BA.1.15,0.001,2022-05-08
Omicron,BA.1,BA.1.15,0,2022-05-15
Omicron,BA.1,Other BA.1,0.001,2021-11-21
Omicron,BA.1,Other BA.1,0.011,2021-11-28
Omicron,BA.1,Other BA.1,0.157,2021-12-05
Omicron,BA.1,Other BA.1,0.372,2021-12-12
Omicron,BA.1,Other BA.1,0.516,2021-12-19
Omicron,BA.1,Other BA.1,0.487,2021-12-26
Omicron,BA.1,Other BA.1,0.433,2022-01-02
Omicron,BA.1,Other BA.1,0.427,2022-01-09
Omicron,BA.1,Other BA.1,0.363,2022-01-16
Omicron,BA.1,Other BA.1,0.325,2022-01-23
Omicron,BA.1,Other BA.1,0.326,2022-01-30
Omicron,BA.1,Other BA.1,0.301,2022-02-06
Omicron,BA.1,Other BA.1,0.23,2022-02-13
Omicron,BA.1,Other BA.1,0.21,2022-02-20
Omicron,BA.1,Other BA.1,0.155,2022-02-27
Omicron,BA.1,Other BA.1,0.107,2022-03-06
Omicron,BA.1,Other BA.1,0.072,2022-03-13
Omicron,BA.1,Other BA.1,0.049,2022-03-20
Omicron,BA.1,Other BA.1,0.029,2022-03-27
Omicron,BA.1,Other BA.1,0.02,2022-04-03
Omicron,BA.1,Other BA.1,0.009,2022-04-10
Omicron,BA.1,Other BA.1,0.005,2022-04-17
Omicron,BA.1,Other BA.1,0.004,2022-04-24
Omicron,BA.1,Other BA.1,0.004,2022-05-01
Omicron,BA.1,Other BA.1,0.002,2022-05-08
Omicron,BA.1,Other BA.1,0.001,2022-05-15
Omicron,BA.2,BA.2,0.001,2020-04-12
Omicron,BA.2,BA.2,0.001,2021-11-28
Omicron,BA.2,BA.2,0,2021-12-19
Omicron,BA.2,BA.2,0.002,2021-12-26
Omicron,BA.2,BA.2,0.005,2022-01-02
Omicron,BA.2,BA.2,0.011,2022-01-09
Omicron,BA.2,BA.2,0.027,2022-01-16
Omicron,BA.2,BA.2,0.042,2022-01-23
Omicron,BA.2,BA.2,0.046,2022-01-30
Omicron,BA.2,BA.2,0.055,2022-02-06
Omicron,BA.2,BA.2,0.087,2022-02-13
Omicron,BA.2,BA.2,0.118,2022-02-20
Omicron,BA.2,BA.2,0.147,2022-02-27
Omicron,BA.2,BA.2,0.204,2022-03-06
Omicron,BA.2,BA.2,0.242,2022-03-13
Omicron,BA.2,BA.2,0.327,2022-03-20
Omicron,BA.2,BA.2,0.394,2022-03-27
Omicron,BA.2,BA.2,0.445,2022-04-03
Omicron,BA.2,BA.2,0.444,2022-04-10
Omicron,BA.2,BA.2,0.45,2022-04-17
Omicron,BA.2,BA.2,0.419,2022-04-24
Omicron,BA.2,BA.2,0.413,2022-05-01
Omicron,BA.2,BA.2,0.39,2022-05-08
Omicron,BA.2,BA.2,0.391,2022-05-15
Omicron,BA.2,BA.2,0.388,2022-05-22
Omicron,BA.2,BA.2.12.1,0,2022-01-16
Omicron,BA.2,BA.2.12.1,0.001,2022-01-23
Omicron,BA.2,BA.2.12.1,0.001,2022-01-30
Omicron,BA.2,BA.2.12.1,0,2022-02-06
Omicron,BA.2,BA.2.12.1,0.001,2022-02-13
Omicron,BA.2,BA.2.12.1,0.001,2022-02-20
Omicron,BA.2,BA.2.12.1,0.009,2022-02-27
Omicron,BA.2,BA.2.12.1,0.009,2022-03-06
Omicron,BA.2,BA.2.12.1,0.021,2022-03-13
Omicron,BA.2,BA.2.12.1,0.032,2022-03-20
Omicron,BA.2,BA.2.12.1,0.043,2022-03-27
Omicron,BA.2,BA.2.12.1,0.061,2022-04-03
Omicron,BA.2,BA.2.12.1,0.104,2022-04-10
Omicron,BA.2,BA.2.12.1,0.154,2022-04-17
Omicron,BA.2,BA.2.12.1,0.216,2022-04-24
Omicron,BA.2,BA.2.12.1,0.25,2022-05-01
Omicron,BA.2,BA.2.12.1,0.305,2022-05-08
Omicron,BA.2,BA.2.12.1,0.309,2022-05-15
Omicron,BA.2,BA.2.12.1,0.278,2022-05-22
Omicron,BA.2,BA.2.3,0.001,2021-12-26
Omicron,BA.2,BA.2.3,0.004,2022-01-02
Omicron,BA.2,BA.2.3,0.007,2022-01-09
Omicron,BA.2,BA.2.3,0.017,2022-01-16
Omicron,BA.2,BA.2.3,0.027,2022-01-23
Omicron,BA.2,BA.2.3,0.03,2022-01-30
Omicron,BA.2,BA.2.3,0.027,2022-02-06
Omicron,BA.2,BA.2.3,0.044,2022-02-13
Omicron,BA.2,BA.2.3,0.078,2022-02-20
Omicron,BA.2,BA.2.3,0.11,2022-02-27
Omicron,BA.2,BA.2.3,0.146,2022-03-06
Omicron,BA.2,BA.2.3,0.14,2022-03-13
Omicron,BA.2,BA.2.3,0.178,2022-03-20
Omicron,BA.2,BA.2.3,0.22,2022-03-27
Omicron,BA.2,BA.2.3,0.219,2022-04-03
Omicron,BA.2,BA.2.3,0.259,2022-04-10
Omicron,BA.2,BA.2.3,0.249,2022-04-17
Omicron,BA.2,BA.2.3,0.24,2022-04-24
Omicron,BA.2,BA.2.3,0.215,2022-05-01
Omicron,BA.2,BA.2.3,0.194,2022-05-08
Omicron,BA.2,BA.2.3,0.17,2022-05-15
Omicron,BA.2,BA.2.3,0.169,2022-05-22
Omicron,BA.2,Other BA.2,0.001,2020-04-12
Omicron,BA.2,Other BA.2,0.001,2021-12-26
Omicron,BA.2,Other BA.2,0.003,2022-01-02
Omicron,BA.2,Other BA.2,0.003,2022-01-09
Omicron,BA.2,Other BA.2,0.009,2022-01-16
Omicron,BA.2,Other BA.2,0.01,2022-01-23
Omicron,BA.2,Other BA.2,0.014,2022-01-30
Omicron,BA.2,Other BA.2,0.011,2022-02-06
Omicron,BA.2,Other BA.2,0.019,2022-02-13
Omicron,BA.2,Other BA.2,0.027,2022-02-20
Omicron,BA.2,Other BA.2,0.036,2022-02-27
Omicron,BA.2,Other BA.2,0.042,2022-03-06
Omicron,BA.2,Other BA.2,0.072,2022-03-13
Omicron,BA.2,Other BA.2,0.09,2022-03-20
Omicron,BA.2,Other BA.2,0.09,2022-03-27
Omicron,BA.2,Other BA.2,0.117,2022-04-03
Omicron,BA.2,Other BA.2,0.096,2022-04-10
Omicron,BA.2,Other BA.2,0.086,2022-04-17
Omicron,BA.2,Other BA.2,0.082,2022-04-24
Omicron,BA.2,Other BA.2,0.093,2022-05-01
Omicron,BA.2,Other BA.2,0.088,2022-05-08
Omicron,BA.2,Other BA.2,0.098,2022-05-15
Omicron,BA.2,Other BA.2,0.073,2022-05-22
Omicron,BA.3,BA.3,0,2022-01-02
Omicron,BA.3,BA.3,0.001,2022-02-13
Omicron,BA.3,BA.3,0,2022-02-27
Omicron,BA.3,BA.3,0.001,2022-03-06
Omicron,BA.3,BA.3,0.001,2022-03-13
Omicron,BA.3,BA.3,0.001,2022-03-20
Omicron,BA.3,BA.3,0,2022-03-27
Omicron,BA.3,BA.3,0,2022-04-03
Omicron,BA.3,BA.3,0.001,2022-04-10
Omicron,BA.3,BA.3,0.001,2022-04-17
Omicron,BA.3,BA.3,0.001,2022-04-24
Omicron,BA.3,BA.3,0.001,2022-05-01
Omicron,BA.3,BA.3,0.001,2022-05-08
Omicron,BA.3,BA.3,0.001,2022-05-15
Omicron,BA.3,BA.3.1,0,2022-03-27
Omicron,BA.4,BA.4,0,2022-04-03
Omicron,BA.4,BA.4,0.001,2022-04-17
Omicron,BA.4,BA.4,0.001,2022-04-24
Omicron,BA.4,BA.4,0.002,2022-05-01
Omicron,BA.4,BA.4,0.005,2022-05-08
Omicron,BA.4,BA.4,0.009,2022-05-15
Omicron,BA.4,BA.4,0.046,2022-05-22
Omicron,BA.5,BA.5,0,2022-04-10
Omicron,BA.5,BA.5,0,2022-04-17
Omicron,BA.5,BA.5,0,2022-04-24
Omicron,BA.5,BA.5,0,2022-05-01
Omicron,BA.5,BA.5,0.001,2022-05-08
Omicron,BA.5,BA.5,0.007,2022-05-15
Omicron,BA.5,BA.5,0.016,2022-05-22
Omicron,BA.5,BA.5.1,0.001,2022-05-01
Omicron,BA.5,BA.5.1,0.001,2022-05-08
Omicron,BA.5,BA.5.1,0.005,2022-05-15
Omicron,BA.5,BA.5.1,0.014,2022-05-22
Other,Other,A,0.02,2020-03-08
Other,Other,A,0.012,2020-03-15
Other,Other,A,0.011,2020-03-22
Other,Other,A,0.007,2020-03-29
Other,Other,A,0.016,2020-04-05
Other,Other,A,0.012,2020-04-12
Other,Other,A,0.002,2020-04-19
Other,Other,A,0.006,2020-04-26
Other,Other,A,0.007,2020-05-03
Other,Other,A,0.003,2020-05-17
Other,Other,A,0.011,2020-08-02
Other,Other,A,0.011,2020-08-09
Other,Other,A,0.002,2020-08-23
Other,Other,A,0.001,2020-11-01
Other,Other,A,0,2021-01-10
Other,Other,A,0,2021-02-14
Other,Other,A,0.003,2021-02-21
Other,Other,A,0,2021-02-28
Other,Other,A,0.001,2021-03-07
Other,Other,A,0,2021-03-21
Other,Other,A,0,2021-04-04
Other,Other,A,0,2021-05-02
Other,Other,A,0,2021-05-09
Other,Other,A,0,2021-05-16
Other,Other,A.1,0.036,2020-03-01
Other,Other,A.1,0.119,2020-03-08
Other,Other,A.1,0.066,2020-03-15
Other,Other,A.1,0.046,2020-03-22
Other,Other,A.1,0.02,2020-03-29
Other,Other,A.1,0.011,2020-04-05
Other,Other,A.1,0.005,2020-04-12
Other,Other,A.1,0.006,2020-04-19
Other,Other,A.1,0.007,2020-04-26
Other,Other,A.1,0.011,2020-05-03
Other,Other,A.1,0.038,2020-05-10
Other,Other,A.1,0.013,2020-05-17
Other,Other,A.1,0.005,2020-05-31
Other,Other,A.18,0,2021-01-24
Other,Other,A.18,0.002,2021-01-31
Other,Other,A.18,0,2021-02-07
Other,Other,A.18,0,2021-02-14
Other,Other,A.19,0,2021-01-10
Other,Other,A.2,0.007,2020-03-08
Other,Other,A.2,0.005,2020-03-15
Other,Other,A.2,0.001,2020-03-22
Other,Other,A.2,0.002,2020-03-29
Other,Other,A.2,0.001,2020-04-12
Other,Other,A.2,0,2021-01-10
Other,Other,A.2.2,0.003,2020-03-15
Other,Other,A.2.2,0.005,2020-03-22
Other,Other,A.2.2,0.005,2020-03-29
Other,Other,A.2.5,0.001,2021-01-10
Other,Other,A.2.5,0,2021-02-14
Other,Other,A.2.5,0,2021-02-21
Other,Other,A.2.5,0.001,2021-03-14
Other,Other,A.2.5,0.001,2021-03-21
Other,Other,A.2.5,0,2021-03-28
Other,Other,A.2.5,0,2021-04-04
Other,Other,A.2.5,0.001,2021-04-11
Other,Other,A.2.5,0,2021-04-18
Other,Other,A.2.5,0,2021-04-25
Other,Other,A.2.5,0.001,2021-05-02
Other,Other,A.2.5,0.001,2021-05-09
Other,Other,A.2.5,0.001,2021-05-16
Other,Other,A.2.5,0.003,2021-05-23
Other,Other,A.2.5,0.003,2021-05-30
Other,Other,A.2.5,0.002,2021-06-06
Other,Other,A.2.5,0.001,2021-06-13
Other,Other,A.2.5,0,2021-06-20
Other,Other,A.2.5,0.001,2021-06-27
Other,Other,A.2.5,0.006,2021-07-04
Other,Other,A.2.5,0.002,2021-07-11
Other,Other,A.2.5,0.002,2021-07-18
Other,Other,A.2.5,0.001,2021-07-25
Other,Other,A.2.5,0.001,2021-08-01
Other,Other,A.2.5.1,0,2021-02-21
Other,Other,A.2.5.1,0,2021-03-28
Other,Other,A.2.5.1,0,2021-04-04
Other,Other,A.2.5.1,0,2021-04-18
Other,Other,A.2.5.1,0.001,2021-05-02
Other,Other,A.2.5.1,0,2021-05-09
Other,Other,A.2.5.1,0.001,2021-05-16
Other,Other,A.2.5.1,0,2021-05-23
Other,Other,A.2.5.1,0.001,2021-05-30
Other,Other,A.2.5.1,0.002,2021-06-06
Other,Other,A.2.5.1,0,2021-06-20
Other,Other,A.2.5.1,0.001,2021-06-27
Other,Other,A.2.5.1,0,2021-07-18
Other,Other,A.2.5.2,0.002,2021-01-03
Other,Other,A.2.5.2,0.007,2021-01-10
Other,Other,A.2.5.2,0.005,2021-01-17
Other,Other,A.2.5.2,0.009,2021-01-24
Other,Other,A.2.5.2,0.012,2021-01-31
Other,Other,A.2.5.2,0.009,2021-02-07
Other,Other,A.2.5.2,0.006,2021-02-14
Other,Other,A.2.5.2,0.007,2021-02-21
Other,Other,A.2.5.2,0.007,2021-02-28
Other,Other,A.2.5.2,0.017,2021-03-07
Other,Other,A.2.5.2,0.006,2021-03-14
Other,Other,A.2.5.2,0.004,2021-03-21
Other,Other,A.2.5.2,0.004,2021-03-28
Other,Other,A.2.5.2,0.011,2021-04-04
Other,Other,A.2.5.2,0.014,2021-04-11
Other,Other,A.2.5.2,0.011,2021-04-18
Other,Other,A.2.5.2,0.005,2021-04-25
Other,Other,A.2.5.2,0.005,2021-05-02
Other,Other,A.2.5.2,0.004,2021-05-09
Other,Other,A.2.5.2,0.006,2021-05-16
Other,Other,A.2.5.2,0.005,2021-05-23
Other,Other,A.2.5.2,0.003,2021-05-30
Other,Other,A.2.5.2,0.003,2021-06-06
Other,Other,A.2.5.2,0.001,2021-06-13
Other,Other,A.2.5.2,0.001,2021-06-20
Other,Other,A.2.5.2,0.001,2021-07-11
Other,Other,A.21,0,2021-01-10
Other,Other,A.21,0.001,2021-01-17
Other,Other,A.23.1,0.001,2020-11-15
Other,Other,A.23.1,0.001,2020-11-22
Other,Other,A.23.1,0.001,2020-11-29
Other,Other,A.23.1,0.001,2020-12-06
Other,Other,A.23.1,0.004,2020-12-13
Other,Other,A.23.1,0.005,2020-12-20
Other,Other,A.23.1,0.006,2020-12-27
Other,Other,A.23.1,0.021,2021-01-03
Other,Other,A.23.1,0.016,2021-01-10
Other,Other,A.23.1,0.018,2021-01-17
Other,Other,A.23.1,0.02,2021-01-24
Other,Other,A.23.1,0.017,2021-01-31
Other,Other,A.23.1,0.016,2021-02-07
Other,Other,A.23.1,0.017,2021-02-14
Other,Other,A.23.1,0.012,2021-02-21
Other,Other,A.23.1,0.013,2021-02-28
Other,Other,A.23.1,0.014,2021-03-07
Other,Other,A.23.1,0.011,2021-03-14
Other,Other,A.23.1,0.013,2021-03-21
Other,Other,A.23.1,0.006,2021-03-28
Other,Other,A.23.1,0.003,2021-04-04
Other,Other,A.23.1,0.004,2021-04-11
Other,Other,A.23.1,0.005,2021-04-18
Other,Other,A.23.1,0.003,2021-04-25
Other,Other,A.23.1,0.001,2021-05-02
Other,Other,A.23.1,0.001,2021-05-09
Other,Other,A.23.1,0,2021-05-16
Other,Other,A.23.1,0,2021-06-13
Other,Other,A.23.1,0,2021-06-20
Other,Other,A.25,0.005,2020-06-07
Other,Other,A.27,0.001,2021-01-31
Other,Other,A.27,0,2021-02-21
Other,Other,A.28,0,2021-04-11
Other,Other,A.28,0,2021-04-18
Other,Other,A.29,0.001,2021-01-24
Other,Other,A.29,0.001,2021-01-31
Other,Other,A.29,0.002,2021-02-07
Other,Other,A.29,0.001,2021-02-14
Other,Other,A.29,0,2021-03-21
Other,Other,A.3,0.002,2020-03-15
Other,Other,A.3,0.006,2020-03-22
Other,Other,A.3,0.001,2020-04-05
Other,Other,A.4,0.001,2020-03-29
Other,Other,A.5,0.003,2020-03-15
Other,Other,A.5,0.001,2020-03-22
Other,Other,AD.2,0.005,2020-07-26
Other,Other,AE.4,0.004,2020-10-25
Other,Other,AE.4,0.001,2020-11-08
Other,Other,AE.8,0.008,2019-12-29
Other,Other,AE.8,0.015,2020-07-19
Other,Other,AE.8,0.035,2020-07-26
Other,Other,AE.8,0.043,2020-08-02
Other,Other,AE.8,0.051,2020-08-09
Other,Other,AE.8,0.076,2020-08-16
Other,Other,AE.8,0.205,2020-08-23
Other,Other,AE.8,0.227,2020-08-30
Other,Other,AE.8,0.314,2020-09-06
Other,Other,AE.8,0.328,2020-09-13
Other,Other,AE.8,0.236,2020-09-20
Other,Other,AE.8,0.166,2020-09-27
Other,Other,AE.8,0.189,2020-10-04
Other,Other,AE.8,0.191,2020-10-11
Other,Other,AE.8,0.172,2020-10-18
Other,Other,AE.8,0.176,2020-10-25
Other,Other,AE.8,0.101,2020-11-01
Other,Other,AE.8,0.088,2020-11-08
Other,Other,AE.8,0.116,2020-11-15
Other,Other,AE.8,0.069,2020-11-22
Other,Other,AE.8,0.043,2020-11-29
Other,Other,AE.8,0.041,2020-12-06
Other,Other,AE.8,0.024,2020-12-13
Other,Other,AE.8,0.02,2020-12-20
Other,Other,AE.8,0.015,2020-12-27
Other,Other,AE.8,0.024,2021-01-03
Other,Other,AE.8,0.027,2021-01-10
Other,Other,AE.8,0.023,2021-01-17
Other,Other,AE.8,0.029,2021-01-24
Other,Other,AE.8,0.024,2021-01-31
Other,Other,AE.8,0.019,2021-02-07
Other,Other,AE.8,0.024,2021-02-14
Other,Other,AE.8,0.012,2021-02-21
Other,Other,AE.8,0.004,2021-02-28
Other,Other,AE.8,0.008,2021-03-07
Other,Other,AE.8,0.002,2021-03-14
Other,Other,AE.8,0,2021-03-21
Other,Other,AE.8,0.002,2021-03-28
Other,Other,AE.8,0.001,2021-04-04
Other,Other,AE.8,0.001,2021-04-11
Other,Other,AE.8,0,2021-05-16
Other,Other,AE.8,0,2021-06-13
Other,Other,AE.8,0.001,2021-06-20
Other,Other,AE.8,0,2021-09-19
Other,Other,AE.8,0,2021-10-10
Other,Other,AE.8,0,2022-01-02
Other,Other,AL.1,0.003,2020-05-24
Other,Other,AL.1,0.003,2020-08-16
Other,Other,AL.1,0.002,2020-08-23
Other,Other,AL.1,0.007,2020-08-30
Other,Other,AL.1,0.003,2020-09-06
Other,Other,AL.1,0.004,2020-09-13
Other,Other,AL.1,0.012,2020-09-20
Other,Other,AL.1,0.017,2020-09-27
Other,Other,AL.1,0.013,2020-10-04
Other,Other,AL.1,0.026,2020-10-11
Other,Other,AL.1,0.022,2020-10-18
Other,Other,AL.1,0.099,2020-10-25
Other,Other,AL.1,0.063,2020-11-01
Other,Other,AL.1,0.089,2020-11-08
Other,Other,AL.1,0.059,2020-11-15
Other,Other,AL.1,0.059,2020-11-22
Other,Other,AL.1,0.053,2020-11-29
Other,Other,AL.1,0.037,2020-12-06
Other,Other,AL.1,0.046,2020-12-13
Other,Other,AL.1,0.029,2020-12-20
Other,Other,AL.1,0.021,2020-12-27
Other,Other,AL.1,0.035,2021-01-03
Other,Other,AL.1,0.027,2021-01-10
Other,Other,AL.1,0.04,2021-01-17
Other,Other,AL.1,0.056,2021-01-24
Other,Other,AL.1,0.035,2021-01-31
Other,Other,AL.1,0.019,2021-02-07
Other,Other,AL.1,0.025,2021-02-14
Other,Other,AL.1,0.021,2021-02-21
Other,Other,AL.1,0.017,2021-02-28
Other,Other,AL.1,0.011,2021-03-07
Other,Other,AL.1,0.013,2021-03-14
Other,Other,AL.1,0.004,2021-03-21
Other,Other,AL.1,0.002,2021-03-28
Other,Other,AL.1,0.003,2021-04-04
Other,Other,AL.1,0.002,2021-04-11
Other,Other,AL.1,0.001,2021-04-18
Other,Other,AL.1,0.001,2021-04-25
Other,Other,AL.1,0.001,2021-06-20
Other,Other,AM.2,0.001,2020-11-22
Other,Other,AM.2,0.001,2020-11-29
Other,Other,AM.2,0,2021-01-10
Other,Other,AM.4,0.008,2020-11-01
Other,Other,AM.4,0.007,2020-11-08
Other,Other,AM.4,0.001,2020-11-15
Other,Other,AM.4,0.012,2020-11-22
Other,Other,AM.4,0.006,2020-11-29
Other,Other,AM.4,0.004,2020-12-06
Other,Other,AM.4,0.007,2020-12-13
Other,Other,AM.4,0.007,2020-12-20
Other,Other,AM.4,0.005,2020-12-27
Other,Other,AM.4,0.006,2021-01-03
Other,Other,AM.4,0.005,2021-01-10
Other,Other,AM.4,0.025,2021-01-17
Other,Other,AM.4,0.005,2021-01-24
Other,Other,AM.4,0.001,2021-01-31
Other,Other,AM.4,0.001,2021-02-14
Other,Other,AM.4,0.007,2021-02-21
Other,Other,AM.4,0.004,2021-02-28
Other,Other,AM.4,0.003,2021-03-07
Other,Other,AM.4,0,2021-03-14
Other,Other,AM.4,0,2021-03-21
Other,Other,AM.4,0,2021-04-04
Other,Other,AM.4,0,2021-04-11
Other,Other,AM.4,0,2021-05-02
Other,Other,AM.4,0,2021-06-20
Other,Other,AT.1,0.001,2021-06-27
Other,Other,AT.1,0.003,2021-07-04
Other,Other,AT.1,0,2021-07-18
Other,Other,AV.1,0,2021-04-25
Other,Other,AW.1,0.001,2020-10-11
Other,Other,AW.1,0.005,2020-10-18
Other,Other,AW.1,0.059,2020-10-25
Other,Other,AW.1,0.02,2020-11-01
Other,Other,AW.1,0.024,2020-11-08
Other,Other,AW.1,0.014,2020-11-15
Other,Other,AW.1,0.014,2020-11-22
Other,Other,AW.1,0.028,2020-11-29
Other,Other,AW.1,0.01,2020-12-06
Other,Other,AW.1,0.014,2020-12-13
Other,Other,AW.1,0.011,2020-12-20
Other,Other,AW.1,0.004,2020-12-27
Other,Other,AW.1,0.006,2021-01-03
Other,Other,AW.1,0.004,2021-01-10
Other,Other,AW.1,0.003,2021-01-17
Other,Other,AW.1,0.006,2021-01-24
Other,Other,AW.1,0.004,2021-01-31
Other,Other,AW.1,0.005,2021-02-07
Other,Other,AW.1,0.007,2021-02-14
Other,Other,AW.1,0.002,2021-02-21
Other,Other,AW.1,0.001,2021-02-28
Other,Other,AW.1,0,2021-03-07
Other,Other,AZ.1,0.001,2021-02-14
Other,Other,AZ.1,0.001,2021-02-21
Other,Other,AZ.1,0,2021-02-28
Other,Other,AZ.1,0.001,2021-03-07
Other,Other,AZ.1,0.001,2021-03-14
Other,Other,AZ.1,0.007,2021-03-21
Other,Other,AZ.1,0.018,2021-03-28
Other,Other,AZ.1,0.021,2021-04-04
Other,Other,AZ.1,0.017,2021-04-11
Other,Other,AZ.1,0.01,2021-04-18
Other,Other,AZ.1,0.011,2021-04-25
Other,Other,AZ.1,0.013,2021-05-02
Other,Other,AZ.1,0.003,2021-05-09
Other,Other,AZ.1,0.011,2021-05-16
Other,Other,AZ.1,0.007,2021-05-23
Other,Other,AZ.1,0.008,2021-05-30
Other,Other,AZ.1,0.01,2021-06-06
Other,Other,AZ.1,0.009,2021-06-13
Other,Other,AZ.1,0.009,2021-06-20
Other,Other,AZ.1,0.005,2021-06-27
Other,Other,AZ.1,0.002,2021-07-04
Other,Other,AZ.1,0.002,2021-07-11
Other,Other,AZ.1,0.002,2021-07-18
Other,Other,AZ.1,0.001,2021-07-25
Other,Other,AZ.2,0,2021-05-30
Other,Other,AZ.5,0.001,2021-02-28
Other,Other,AZ.5,0,2021-03-07
Other,Other,AZ.5,0,2021-08-29
Other,Other,AZ.5,0,2021-09-05
Other,Other,AZ.6,0.001,2021-02-14
Other,Other,AZ.6,0,2021-02-21
Other,Other,AZ.6,0.001,2021-02-28
Other,Other,AZ.6,0.003,2021-03-07
Other,Other,AZ.6,0.006,2021-03-14
Other,Other,AZ.6,0.006,2021-03-21
Other,Other,AZ.6,0.002,2021-03-28
Other,Other,AZ.6,0.001,2021-04-04
Other,Other,AZ.6,0,2021-04-11
Other,Other,AZ.6,0.001,2021-04-18
Other,Other,AZ.6,0.001,2021-04-25
Other,Other,AZ.6,0,2021-05-02
Other,Other,AZ.6,0.002,2021-05-09
Other,Other,AZ.6,0,2021-05-16
Other,Other,AZ.6,0,2021-05-23
Other,Other,AZ.6,0,2021-06-06
Other,Other,AZ.6,0.001,2021-06-13
Other,Other,B,0.018,2020-03-01
Other,Other,B,0.013,2020-03-08
Other,Other,B,0.025,2020-03-15
Other,Other,B,0.016,2020-03-22
Other,Other,B,0.013,2020-03-29
Other,Other,B,0.005,2020-04-05
Other,Other,B,0.005,2020-04-12
Other,Other,B,0.002,2020-09-20
Other,Other,B,0.002,2020-11-01
Other,Other,B,0.001,2020-11-22
Other,Other,B,0.001,2020-11-29
Other,Other,B,0,2021-01-03
Other,Other,B,0,2021-01-17
Other,Other,B,0,2021-01-24
Other,Other,B,0,2021-03-07
Other,Other,B,0,2021-03-14
Other,Other,B,0,2021-04-04
Other,Other,B,0,2021-04-11
Other,Other,B,0,2021-04-18
Other,Other,B,0,2021-05-16
Other,Other,B,0.006,2021-08-01
Other,Other,B,0.004,2021-08-08
Other,Other,B,0,2021-10-24
Other,Other,B.1,0.154,2019-12-29
Other,Other,B.1,0.586,2020-03-01
Other,Other,B.1,0.47,2020-03-08
Other,Other,B.1,0.521,2020-03-15
Other,Other,B.1,0.497,2020-03-22
Other,Other,B.1,0.442,2020-03-29
Other,Other,B.1,0.332,2020-04-05
Other,Other,B.1,0.136,2020-04-12
Other,Other,B.1,0.075,2020-04-19
Other,Other,B.1,0.12,2020-04-26
Other,Other,B.1,0.153,2020-05-03
Other,Other,B.1,0.128,2020-05-10
Other,Other,B.1,0.123,2020-05-17
Other,Other,B.1,0.185,2020-05-24
Other,Other,B.1,0.224,2020-05-31
Other,Other,B.1,0.199,2020-06-07
Other,Other,B.1,0.207,2020-06-14
Other,Other,B.1,0.091,2020-06-21
Other,Other,B.1,0.102,2020-06-28
Other,Other,B.1,0.111,2020-07-05
Other,Other,B.1,0.105,2020-07-12
Other,Other,B.1,0.09,2020-07-19
Other,Other,B.1,0.045,2020-07-26
